INSERT INTO escena VALUES ('0', '/Imagenes/Cartel.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('27', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('28', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('29', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('30', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('31', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('32', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('33', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('34', '/Imagenes/MapaPueblo.jpg', '');
INSERT INTO escena VALUES ('35', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('36', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('37', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('38', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('39', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('40', '/Imagenes/DueñaMotel.jpg', 'DueñaMotel');
INSERT INTO escena VALUES ('41', '/Imagenes/DueñaMote.jpg', '');
INSERT INTO escena VALUES ('43', '/Imagenes/CamareroPubPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('44', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('45', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('46', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('47', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('48', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('49', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('50', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('51', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('52', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('53', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('54', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('55', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('56', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('57', '/Imagenes/Vidente.jpg', 'Vidente');
INSERT INTO escena VALUES ('58', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('59', '/Imagenes/ClientePub.jpg', 'ClientePub');
INSERT INTO escena VALUES ('60', '/Imagenes/CamareroPub.jpg', 'CamareroPub');
INSERT INTO escena VALUES ('61', '/Imagenes/Reservado.jpg', '');
INSERT INTO escena VALUES ('62', '/Imagenes/Reservado.jpg', '');
INSERT INTO escena VALUES ('63', '/Imagenes/MapaPueblo.jpg', '');
INSERT INTO escena VALUES ('64', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('65', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('66', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('67', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('68', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('69', '/Imagenes/Nosferatu.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('70', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('71', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('72', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('73', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('74', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('75', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('76', '/Imagenes/Periodico.jpg', 'No');
INSERT INTO escena VALUES ('77', '/Imagenes/MapaPueblo.jpg', 'No');
INSERT INTO escena VALUES ('78', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('79', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('80', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('81', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('82', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('83', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('84', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('85', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('86', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('87', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('88', '/Imagenes/CasaColina.jpg', 'No');
INSERT INTO escena VALUES ('89', '/Imagenes/CasaColina.jpg', 'Ramonchu');
INSERT INTO escena VALUES ('90', '/Imagenes/CasaColina.jpg', 'Ramonchu');
INSERT INTO escena VALUES ('91', '/Imagenes/CasaColina.jpg', 'Ramonchu');
